filedFor,ticker,value
2013-06-30,AXP,11334417000
2013-06-30,BK,691264000
2013-06-30,CBI,569798000
2013-06-30,COP,1459497000
2013-06-30,COST,479140000
2013-06-30,DE,323275000
2013-06-30,DISH,23272000
2013-06-30,DTV1,2297655000
2013-06-30,DVA,1808848000
2013-06-30,FWONA,712688000
2013-06-30,GE,13657000
2013-06-30,GHC,835840000
2013-06-30,GL,275921000
2013-06-30,GM,1332400000
2013-06-30,IBM,13018792000
2013-06-30,JNJ,28085000
2013-06-30,KO,16044001000
2013-06-30,KRFT,10764000
2013-06-30,LEE,181000
2013-06-30,MA,232673000
2013-06-30,MCO,1518508000
2013-06-30,MDLZ,16490000
2013-06-30,MEG1,51248000
2013-06-30,MTB,601444000
2013-06-30,NOV,611832000
2013-06-30,PCP,446898000
2013-06-30,PG,4064539000
2013-06-30,PSX,1600226000
2013-06-30,STRZA,124254000
2013-06-30,UPS,5137000
2013-06-30,USB,2829725000
2013-06-30,USG,393514000
2013-06-30,V,284260000
2013-06-30,VIAB,517518000
2013-06-30,VRSK,93337000
2013-06-30,VRSN,486679000
2013-06-30,WBC,304461000
2013-06-30,WFC,19113442000
2013-06-30,WMT,3668426000
2013-06-30,XOM,2822906
2013-09-30,AXP,11449640000
2013-09-30,BK,744269000
2013-09-30,CBI,647254000
2013-09-30,COP,940419000
2013-09-30,COST,499073000
2013-09-30,DE,323832000
2013-09-30,DISH,24635000
2013-09-30,DTV1,2182848000
2013-09-30,DVA,1789325000
2013-09-30,FWONA,827327000
2013-09-30,GE,14069000
2013-09-30,GHC,1056270000
2013-09-30,GL,306461000
2013-09-30,GM,1438800000
2013-09-30,IBM,12614828000
2013-09-30,JNJ,28356000
2013-09-30,KO,15152001000
2013-09-30,KRFT,10111000
2013-09-30,LEE,235000
2013-09-30,MA,272476000
2013-09-30,MCO,1752777000
2013-09-30,MDLZ,18161000
2013-09-30,MEG1,66255000
2013-09-30,MTB,602358000
2013-09-30,NOV,693617000
2013-09-30,PCP,449330000
2013-09-30,PG,3990629000
2013-09-30,PSX,1570618000
2013-09-30,STRZA,158156000
2013-09-30,UPS,5427000
2013-09-30,USB,2894119000
2013-09-30,USG,487923000
2013-09-30,V,297248000
2013-09-30,VIAB,635809000
2013-09-30,VRSK,101561000
2013-09-30,VRSN,557832000
2013-09-30,WBC,343471000
2013-09-30,WFC,19136598000
2013-09-30,WMT,3642325000
2013-09-30,XOM,3449290000
2013-12-31,AXP,13755639000
2013-12-31,BK,861370000
2013-12-31,CBI,794050000
2013-12-31,COP,782799000
2013-12-31,COST,515757000
2013-12-31,DE,363381000
2013-12-31,DTV1,2521705000
2013-12-31,DVA,2310552000
2013-12-31,FWONA,775347000
2013-12-31,GE,296712000
2013-12-31,GHC,1146062000
2013-12-31,GL,331029000
2013-12-31,GM,1634800000
2013-12-31,GS,2239065000
2013-12-31,IBM,12777641000
2013-12-31,JNJ,29959000
2013-12-31,KO,16524000000
2013-12-31,KRFT,10387000
2013-12-31,LBTYA,262397000
2013-12-31,LEE,308000
2013-12-31,MA,338361000
2013-12-31,MCO,1935837000
2013-12-31,MDLZ,20403000
2013-12-31,MEG1,105005000
2013-12-31,MTB,626576000
2013-12-31,NOV,706226000
2013-12-31,PCP,532496000
2013-12-31,PG,4297885000
2013-12-31,PSX,2095153000
2013-12-31,STRZA,132804000
2013-12-31,UPS,6242000
2013-12-31,USB,3204565000
2013-12-31,USG,990184000
2013-12-31,V,346370000
2013-12-31,VIAB,664412000
2013-12-31,VRSK,102749000
2013-12-31,VRSN,655280000
2013-12-31,WBC,380770000
2013-12-31,WFC,21040998000
2013-12-31,WMT,3893875000
2013-12-31,XOM,4162320000
2014-03-31,AXP,13649511000
2014-03-31,BK,869997000
2014-03-31,CBI,832348000
2014-03-31,COP,779475000
2014-03-31,COST,483950000
2014-03-31,DE,361272000
2014-03-31,DTV1,2637614000
2014-03-31,DVA,2590216000
2014-03-31,FWONA,692869000
2014-03-31,GE,274059000
2014-03-31,GHC,1215915000
2014-03-31,GL,333359000
2014-03-31,GM,1032600000
2014-03-31,GS,2069676000
2014-03-31,IBM,13157670000
2014-03-31,JNJ,32131000
2014-03-31,KO,15464001000
2014-03-31,KRFT,10809000
2014-03-31,LBTYA,305634000
2014-03-31,LBTYK,299095000
2014-03-31,LEE,397000
2014-03-31,MA,302535000
2014-03-31,MCO,1956807000
2014-03-31,MDLZ,19970000
2014-03-31,MEG1,85351000
2014-03-31,MTB,652842000
2014-03-31,NOV,691486000
2014-03-31,PCP,499792000
2014-03-31,PG,4255122000
2014-03-31,PSX,750664000
2014-03-31,STRZA,61963000
2014-03-31,UPS,5784000
2014-03-31,USB,3429944000
2014-03-31,USG,1141607000
2014-03-31,V,335761000
2014-03-31,VIAB,646535000
2014-03-31,VRSK,93744000
2014-03-31,VRSN,629974000
2014-03-31,VZ,524352000
2014-03-31,WBC,430297000
2014-03-31,WFC,23052408000
2014-03-31,WMT,4436946000
2014-03-31,XOM,4017544000
2014-06-30,AXP,14383308000
2014-06-30,BK,923989000
2014-06-30,CBI,729816000
2014-06-30,CHTR,365701000
2014-06-30,COP,116184000
2014-06-30,COST,499030000
2014-06-30,DE,360277000
2014-06-30,DNOW,66104000
2014-06-30,DTV1,1995014000
2014-06-30,DVA,2720762000
2014-06-30,FWONA,546720000
2014-06-30,GE,278186000
2014-06-30,GHC,77251000
2014-06-30,GL,346998000
2014-06-30,GM,1196451000
2014-06-30,GS,2115024000
2014-06-30,IBM,12720437000
2014-06-30,JNJ,34221000
2014-06-30,KO,16944000000
2014-06-30,KRFT,11550000
2014-06-30,LBTYA,436299000
2014-06-30,LBTYK,310850000
2014-06-30,LEE,395000
2014-06-30,MA,297554000
2014-06-30,MCO,2162553000
2014-06-30,MDLZ,21739000
2014-06-30,MEG1,95387000
2014-06-30,MTB,667642000
2014-06-30,NOV,601342000
2014-06-30,PCP,473659000
2014-06-30,PG,4149008000
2014-06-30,PSX,522457000
2014-06-30,UPS,6098000
2014-06-30,USB,3469692000
2014-06-30,USG,1175131000
2014-06-30,V,379225000
2014-06-30,VIAB,659772000
2014-06-30,VRSK,93837000
2014-06-30,VRSN,633798000
2014-06-30,VZ,733996000
2014-06-30,WBC,435433000
2014-06-30,WFC,24359359000
2014-06-30,WMT,4413910000
2014-06-30,XOM,4140932000
2014-09-30,AXP,13272002000
2014-09-30,BK,905413000
2014-09-30,CBI,619059000
2014-09-30,CHTR,749296000
2014-09-30,COP,36117000
2014-09-30,COST,543057000
2014-09-30,DE,620451
2014-09-30,DNOW,55515000
2014-09-30,DTV1,2595600000
2014-09-30,DVA,2751611000
2014-09-30,ESRX,31747000
2014-09-30,FWONA,188720000
